"Key","English","Polish"
"ui_eq_weapon_1","Weapon I","Broń I"
"ui_eq_weapon_2","Weapon II","Broń II"
"ui_eq_armor","Armor","Zbroja"
"ui_eq_other","Accesory","Akcesoria"
"ui_spellcraft_craft","Save","Zapisz"
"===ITEMS===","ITEMS","ITEMS"
"item_empty","-","-"
"item_saber","Saber","Szabla"
"item_axe","Battle Axe","Topór Bojowy"
"item_chainmail","Chainmail","Kolczuga"
"item_cuirass","Curiass","Kiras"
"item_lavellan_brain","Lavellan Brain","Mózg Lavellana"
"item_lavellan_shell","Lavellan Shell","Pancerz Lavellana"
"item_sallet","Sallet","Sallet"
"item_round_shield","Round Shield","Okrągła Tarcza"
"item_goblin_eye","Goblin's Eye","Oko Goblina"
"item_goblin_skin","Goblin's Skin","Skóra Goblina"
"item_cruciata_core","Cruciata Core","Rdzeń Cruciaty"
"item_naja_fang","Naja Fang","Kieł Naja"
"item_rats_tail","Rats Tail","Szczurzy Ogon"
"item_brigandine","Brigandine","Brygantyna"
"item_health_potion","Health Potion","Mikstura Zdrowia"
"item_type_none","None","Żaden"
"item_type_weapon","Weapon","Broń"
"item_type_armor","Armor","Zbroja"
"item_type_component","Component","Materiał"
"item_default_desc","Lorem ipsum dolor sit amet"," consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis"
"item_saber_desc","This finely crafted saber is a work of true master.","Ta misternie wykonana szabla jest dziełem prawdziwego mistrza."
"item_chainmail_desc","Made out of connected small metal rings"," this shirt ensures your guts will remain intact. Made out of connected small metal rings this shirt ensures your guts will remain intact."
"item_axe_desc","As cheap as it is effective","Tani i skuteczny"
"item_sallet_desc",,
"item_round_shield_desc",,
"item_holy_water","Holy Water","Woda Święcona"
"item_great_health_potion","Greater Healing Potion","Większa Mikstura Lecznicza"
"item_health_potion","Healing Potion","Mikstura Lecznicza"
"item_warrior_potion","Warrior Potion","Mikstura Wojownika"
"item_castle_potion","Castle Potion","Mikstura Twierdzy"
"===SPELLS===","SPELLS","SPELLS"
"spell_none","None","Brak"
"spell_fire_arrow","Fire arrow","Ognisty pocisk"
"spell_haste","Haste","Pośpiech"
"spell_dark_knives","Dark knives","Mroczne noże"
"spell_darkness","Darkness","Ciemność"
"spell_dark_laser","Dark Laser","Dark Laser"
"spell_fire_breath","Fire breath","Ognisty dech"
"spell_cursed_resolve","Cursed Resolve","Cursed Resolve"
"spell_ferocity","Ferocity","Ferocity"
"spell_strike","Strike","Uderzenie"
"spell_cat_eye","Cat Eyes","Koci wzrok"
"spell_invis","Invisibility","Newidzialność"
"spell_heal","Heal","Leczenie"
"spell_castle","Castle","Twierdza"
"spell_ferocity","Ferocity","Dzikość"
"spell_cursed_resolve","Cursed Resolve","Przeklęte Postanowienie"
"spell_holy_spirit","Holy Spirit","Duch Święty"
"spell_waterfall","Waterfall","Wodospad"
"spell_curse","Curse","Klątwa"
"spell_spears_of_light","Spears of Light","Włócznie Światłości"
"spell_cleansing","Cleansing","Oczyszczenie"
"spell_hurricane","Hurricane","Tornado"
"spell_fire_spirit","Spirit of Fire","Duch Płomieni"
"spell_dragon_flame","Dragon Flame","Smoczy Płomień"
"spell_darkness_spirit","Spirit of Darkness","Duch Ciemności"
"spell_sunrise","Sunrise","Świt"
"spell_dark_laser","Dark Laser","Mroczny Laser"
"spell_primordial_magma","Primordial Magma","Pierwotna Magma"
"spell_darkness","Darkness","Mrok"
"spell_haste","Haste","Pośpiech"
"spell_dark_knives","Dark Knives","Noże Mroku"
"spell_water_spirit","Spirit of Water","Duch Wody"
"spell_sunshine","Sunshine","Światłość"
"spell_wind_spirit","Spirit of Wind","Duch Wiatru"
"spell_desc_default","Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis","Lorem ipsum dolor sit amet consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis"
"spell_desc_fire_arrow","One of the most basic offensive spells shooting a projectile of pure fire.","Podstawowe ofensywne zaklęcie wystrzeliwujace pocisk czystego ognia w kierunku przeciwnika."
"spell_desc_fire_breath","Breathing fire is proven method of killing your oponents.","Zianie ogniem jest sprawdzoną metodą wygrywania walk."
"spell_desc_magic_missile","Shoots out multiple projectiles which will follow the target impossible to evade.","Wystrzeliwuje salwe magicznych pocisków które nie znikną póki nie siegną celu niemożliwe do uniknięcia."
"spell_desc_cat_eye","This spell extends your sight in pitch-black condition revealing hidden dangers obstacles and secret passages. Ideal for navigating shadowy dungeons nighttime ambushes or stealthy explorations","Zaklęcie to pozwala widzieć w całkowitej ciemności"
"spell_desc_invis","This spell makes you hidden from the eyes of oponents","To zaklęcie ukrywa cię przed wzrokiem wrogów."
"spell_desc_heal","This spell makes you hidden from the eyes of oponents","To zaklęcie ukrywa cię przed wzrokiem wrogów."
"spell_haste_desc","Haste","Pośpiech"
"spell_dark_knives_desc","Dark knives","Mroczne noże"
"spell_darkness_desc","Darkness","Ciemność"
"spell_dark_laser_desc","Dark Laser","Dark Laser"
"spell_cursed_resolve_desc","Cursed Resolve","Cursed Resolve"
"spell_ferocity_desc","Ferocity","Ferocity"
"spell_strike_desc","Strike","Uderzenie"
"===STATES=======","STATE","STATE"
"bstate_default","Default","Default"
"bstate_darkness","Darkness","Ciemność"
"bstate_haste","Haste","Pośpiech"
"bstate_burned","Burned","Poparzony"
"bstate_curse","Curse","Klątwa"
"bstate_bloodloss","Bloodloss","Krwawienie"
"bstate_default_desc","Default","Default"
"bstate_bloodloss_desc","Bloodloss","Krwawienie"
"bstate_darkness_desc","Darkness","Ciemność"
"===ELEMENTS=======","ELEMENTS","ELEMENTS"
"element_fire","Fire ","Ogień"
"element_water","Water","Woda"
"element_wind","Wind","Wiatr"
"element_metal","Metal","Metal"
"element_holy","Holy ","Światłość"
"element_darkness","Darkness","Mrok"
"===DIALOGUES===","DIALOGUES","DIALOGUES"
"village1","Rumors say somewhere in Underground powerful spell was hidden in old times","Według plotek w podziemiach ukryty jest poteżny Czar z antycznych czasów."
"village2","Thats it","To tyle"
"spire1","Future of your kind lies in the Spire",
"spire2","Rumors say somewhere in Underground powerful spell was hidden in old times","Według plotek w podziemiach ukryty jest poteżny Czar z antycznych czasów."
